timestamp,ae_energy,ae_count,vibration_rms,temperature,current,pressure
2026-05-17 00:35:55,4.6242,89.1704,0.9389,76.32759999999999,13.7649,2.936
2026-05-17 00:40:55,4.8948,94.6046,0.8718,75.1511,13.7305,2.9221
2026-05-17 00:45:55,4.5605,78.5203,0.7965,73.8253,13.6481,2.9689
2026-05-17 00:50:55,4.273,81.5262,0.9879,74.2291,13.8101,2.8645
2026-05-17 00:55:55,4.3639,90.6655,0.8309,74.9508,13.7099,2.9325
2026-05-17 01:00:55,4.3496,101.1137,0.8992,73.2307,13.9234,2.8767
2026-05-17 01:05:55,4.5522,78.242,0.8203,39.7362,11.9108,2.9603
2026-05-17 01:10:55,4.4711,88.1934,0.8113,38.6362,11.7309,3.0134
2026-05-17 01:15:55,4.5859,79.4218,0.9194,39.0379,11.6985,2.9867
2026-05-17 01:20:55,4.7577,95.5877,0.8496,39.1289,11.8497,3.0085
2026-05-17 01:25:55,4.3802,88.886,0.8336,38.0646,11.9219,3.0314
2026-05-17 01:30:55,4.482,96.0212,0.9217,38.7259,11.8542,3.0423
2026-05-17 01:35:55,4.491,99.3879,0.7428,40.4863,11.8131,2.9321
2026-05-17 01:40:55,4.5229,78.0746,0.8868,39.9285,12.0217,2.9189
2026-05-17 01:45:55,4.2979,86.9895,0.9549,39.8945,11.7205,2.9808
2026-05-17 01:50:55,4.5243,95.8119,0.8579,39.1068,11.7412,2.8622
2026-05-17 01:55:55,4.574,91.5663,0.9003,39.2185,11.5877,2.9248
2026-05-17 02:00:55,4.4143,85.1863,0.8903,39.9849,12.0829,2.9605
2026-05-17 02:05:55,4.5644,89.5533,0.7849,39.4682,11.809,3.0978
2026-05-17 02:10:55,4.4519,91.8093,0.8979,38.0976,11.9714,2.9951
2026-05-17 02:15:55,4.6978,84.5437,0.9842,37.8178,11.888,3.0814
2026-05-17 02:20:55,4.2524,86.6022,0.906,38.8958,11.5674,2.9541
2026-05-17 02:25:55,4.2344,92.8416,0.8448,41.3599,11.6825,2.9307
2026-05-17 02:30:55,4.7034,82.6148,0.9136,41.0686,11.5589,2.9611
2026-05-17 02:35:55,4.565,94.6909,0.8258,37.9155,11.8783,2.9678
2026-05-17 02:40:55,4.5626,92.0787,0.8592,39.7787,11.844,2.9071
2026-05-17 02:45:55,4.9664,92.843,0.8285,40.2879,11.6538,2.9972
2026-05-17 02:50:55,4.7896,85.0759,0.9578,39.9953,11.9233,3.0638
2026-05-17 02:55:55,4.4387,85.4776,0.8466,38.521,11.7884,2.9705
2026-05-17 03:00:55,4.5692,94.9631,0.9008,41.2442,11.7603,3.1132
2026-05-17 03:05:55,4.6564,84.8571,0.8357,40.079,11.7665,2.9928
2026-05-17 03:10:55,4.6183,89.563,0.8492,37.6822,11.733,3.0014
2026-05-17 03:15:55,4.5535,82.5256,0.9104,39.9624,11.6674,2.9592
2026-05-17 03:20:55,4.5146,83.1422,0.9215,40.1729,11.9625,3.0132
2026-05-17 03:25:55,4.1556,84.373,0.9309,40.1165,11.8773,3.1812
2026-05-17 03:30:55,4.6427,96.8134,0.9572,40.2817,11.7527,2.9955
2026-05-17 03:35:55,4.3068,88.5791,0.8709,39.5982,12.1472,2.838
2026-05-17 03:40:55,4.6716,80.3237,0.8717,40.8067,11.8096,2.8853
2026-05-17 03:45:55,4.3212,94.0776,0.8562,39.7598,11.8068,2.9109
2026-05-17 03:50:55,5.036,93.8035,0.7785,39.7237,11.7007,3.0011
2026-05-17 03:55:55,4.3019,89.3116,0.9303,40.5389,11.62,2.9299
2026-05-17 04:00:55,4.3813,86.08,1.0059,39.986,11.6109,3.0051
2026-05-17 04:05:55,5.0305,96.1948,0.8088,38.9189,11.99,2.9075
2026-05-17 04:10:55,4.611,94.6478,0.8444,39.4286,11.3138,2.8885
2026-05-17 04:15:55,4.4369,82.5133,0.9979,37.7838,11.734,2.9578
2026-05-17 04:20:55,4.8603,81.3848,0.9698,39.5123,11.6528,2.9777
2026-05-17 04:25:55,4.5498,86.3987,0.9042,39.0376,11.817,2.9897
2026-05-17 04:30:55,4.8965,82.5731,1.028,37.1575,11.7772,2.9853
2026-05-17 04:35:55,4.5702,86.2638,0.8875,38.9084,11.7116,3.001
2026-05-17 04:40:55,4.5893,85.8425,0.954,39.8688,11.9219,2.9878
2026-05-17 04:45:55,4.2928,86.6389,0.9448,40.2324,11.7969,2.957
2026-05-17 04:50:55,4.8194,86.4506,0.9328,39.2574,11.7673,3.0159
2026-05-17 04:55:55,4.7064,94.8811,0.9783,39.5252,11.9023,2.9314
2026-05-17 05:00:55,4.581,89.2191,0.9058,40.2142,11.6773,3.0755
2026-05-17 05:05:55,4.2485,82.7149,0.9695,40.45,11.8936,2.9877
2026-05-17 05:10:55,4.4969,84.6165,0.9045,38.6874,11.9463,2.9412
2026-05-17 05:15:55,4.2936,88.0717,0.9248,38.8235,11.6767,2.9646
2026-05-17 05:20:55,4.5612,86.9583,0.8717,39.7785,11.5828,2.8656
2026-05-17 05:25:55,4.3204,88.7193,0.9187,41.2704,11.9286,2.9404
2026-05-17 05:30:55,4.4952,83.9848,0.8989,39.1536,11.8484,2.9004
2026-05-17 05:35:55,4.6298,99.1964,0.8935,39.9821,11.9035,2.9259
2026-05-17 05:40:55,4.556,90.0756,0.9059,38.5724,11.8037,2.9799
2026-05-17 05:45:55,4.8628,95.7556,1.0292,38.5792,11.9308,2.961
2026-05-17 05:50:55,5.0475,85.1502,0.8496,38.7807,11.4814,2.9185
2026-05-17 05:55:55,4.3102,90.9024,0.9205,41.7514,11.9426,2.9154
2026-05-17 06:00:55,4.2754,92.9515,0.8208,41.6978,11.9769,2.9218
2026-05-17 06:05:55,4.0717,98.1232,0.8931,40.9854,11.5608,2.914
2026-05-17 06:10:55,4.5013,90.2819,0.873,40.2474,11.6399,2.9415
2026-05-17 06:15:55,4.5301,93.0866,0.9427,38.1504,11.5699,3.0267
2026-05-17 06:20:55,4.5831,85.5091,0.9931,39.6388,11.9769,2.9541
2026-05-17 06:25:55,5.0152,100.532,0.8851,40.6659,11.8968,3.0321
2026-05-17 06:30:55,4.2588,94.1163,0.9635,37.3895,11.6225,2.8276
2026-05-17 06:35:55,4.4326,94.3053,0.9901,39.5889,12.0443,2.8672
2026-05-17 06:40:55,4.0742,89.6667,0.923,39.4608,11.4899,2.9447
2026-05-17 06:45:55,4.1739,94.018,0.922,38.3721,11.7229,2.8864
2026-05-17 06:50:55,4.4843,95.7309,0.8409,40.1049,11.7205,2.9024
